iter	Accuracy	Logloss
0	0.734042558	0.6794079372
1	0.7750000029	0.6715885577
2	0.8617021289	0.6581430351
3	0.8664893634	0.6528114889
4	0.8707446828	0.6410222337
5	0.8872340442	0.6321775404
6	0.9005319163	0.6203687755
7	0.8989361719	0.6124662883
8	0.9000000019	0.610571164
9	0.9085106401	0.6047927413
10	0.9005319169	0.5970127651
11	0.9324468098	0.5812583647
12	0.9574468095	0.5663467224
13	0.9680851071	0.5540154126
14	0.9654255327	0.5456031308
15	0.9760638303	0.5338621496
16	0.9680851071	0.5267002643
17	0.9734042559	0.5156502662
18	0.9734042559	0.5153876587
19	0.9787234047	0.5066356239
20	0.9787234047	0.5004554338
21	0.9760638303	0.4932816657
22	0.9813829791	0.4810317566
23	0.9840425536	0.4721759733
24	0.986702128	0.4639197075
25	0.9893617024	0.45578039
26	0.9920212768	0.4492744265
27	0.9920212768	0.4417941824
28	0.9920212768	0.4315426923
29	0.9920212768	0.4246726549
30	0.9920212768	0.4188711761
31	0.9920212768	0.413364265
32	0.9920212768	0.4060630087
33	0.9920212768	0.4016522473
34	0.9920212768	0.3956262478
35	0.9920212768	0.3901403588
36	0.9946808512	0.3812576539
37	0.9946808512	0.371663567
38	0.9973404256	0.365544938
39	0.9973404256	0.3615500413
40	0.9973404256	0.3555204056
41	0.9973404256	0.3502113518
42	0.9973404256	0.3448353184
43	0.9973404256	0.3398954592
44	0.9973404256	0.3345789473
45	1	0.3299818472
46	1	0.3267475225
47	1	0.3213694557
48	1	0.3149181994
49	1	0.3105626102
50	1	0.3064579286
51	1	0.3000993091
52	1	0.2949072026
53	1	0.2884365785
54	1	0.2843635679
55	1	0.2801070099
56	1	0.2757427924
57	1	0.2716299861
58	1	0.2675258654
59	1	0.2650831739
60	1	0.2620287437
61	1	0.2586549216
62	0.9973404256	0.2551814198
63	1	0.2511185992
64	1	0.2472310914
65	1	0.2436782997
66	0.9973404256	0.2407739731
67	1	0.2376721491
68	1	0.2350350125
69	1	0.2301761911
70	1	0.2273364526
71	1	0.2246984674
72	1	0.2207753591
73	1	0.2184965536
74	1	0.2160459654
75	1	0.2112886471
76	1	0.2070420592
77	1	0.2033057292
78	1	0.2006813091
79	1	0.1978315
80	1	0.1964437784
81	1	0.1937798304
82	1	0.191332046
83	1	0.1887950233
84	1	0.1857348141
85	1	0.1837815472
86	1	0.1818799644
87	1	0.1795527874
88	1	0.178148024
89	1	0.1757301645
90	1	0.1742630816
91	1	0.1713004877
92	1	0.1692213031
93	1	0.1679075421
94	1	0.1674838862
95	1	0.1647047914
96	1	0.1621592627
97	1	0.1603739763
98	1	0.1582495859
99	1	0.1563920157
100	1	0.1553112163
101	1	0.1533046276
102	1	0.1504125839
103	1	0.1482784785
104	1	0.1476634027
105	1	0.1466633129
106	1	0.1455854139
107	1	0.1440341428
108	1	0.1429317105
109	1	0.1410393662
110	1	0.1385059079
111	1	0.136981224
112	1	0.1358733686
113	1	0.1331746687
114	1	0.1320330421
115	1	0.1302352865
116	1	0.1287708318
117	1	0.1273477384
118	1	0.1266081698
119	1	0.1256149004
120	1	0.1240026165
121	1	0.1224643624
122	1	0.1216733083
123	1	0.120736826
124	1	0.1190613871
125	1	0.1172848688
126	1	0.1157683771
127	1	0.1144597004
128	1	0.1132552308
129	1	0.1120378532
130	1	0.110789632
131	1	0.1097922225
132	1	0.1082676413
133	1	0.107197411
134	1	0.106498581
135	1	0.1058040147
136	1	0.1046901908
137	1	0.1035960632
138	1	0.1021412249
139	1	0.1012155836
140	1	0.1002266416
141	1	0.09934422608
142	1	0.0985540339
143	1	0.09775717216
144	1	0.09669609316
145	1	0.09545719432
146	1	0.09469944112
147	1	0.09356083617
148	1	0.09243184087
149	1	0.09166164183
150	1	0.09051558417
151	1	0.08985586628
152	1	0.08914708282
153	1	0.08823529834
154	1	0.08743122468
155	1	0.08686275252
156	1	0.08575123626
157	1	0.08499673557
158	1	0.08445907749
159	1	0.08383444487
160	1	0.08285439431
161	1	0.08212513511
162	1	0.08121711992
163	1	0.08046972799
164	1	0.07968306366
165	1	0.07890426514
166	1	0.07827465674
167	1	0.0775126371
168	1	0.07686179087
169	1	0.07596101761
170	1	0.07528457663
171	1	0.07423558384
172	1	0.07360950636
173	1	0.07308730953
174	1	0.07235852909
175	1	0.07177003573
176	1	0.07124997843
177	1	0.07071809051
178	1	0.07015106709
179	1	0.06968765814
180	1	0.06902197921
181	1	0.06870402912
182	1	0.06783895417
183	1	0.06724366523
184	1	0.06675951755
185	1	0.06611193053
186	1	0.06548661484
187	1	0.06493791736
188	1	0.06451002435
189	1	0.06379513327
190	1	0.06320330236
191	1	0.06246801675
192	1	0.06206974549
193	1	0.06163771961
194	1	0.06112005324
195	1	0.06046730854
196	1	0.05996913909
197	1	0.05931476352
198	1	0.05884969953
199	1	0.05840705254
200	1	0.05802044363
201	1	0.05766303391
202	1	0.0571688788
203	1	0.0569046478
204	1	0.05661343062
205	1	0.05615572444
206	1	0.05580128865
207	1	0.05545995097
208	1	0.05501222765
209	1	0.05455090112
210	1	0.05404632892
211	1	0.05362961034
212	1	0.05328457193
213	1	0.05300804337
214	1	0.05257004369
215	1	0.05205624084
216	1	0.05173084661
217	1	0.05137036057
218	1	0.05095142639
219	1	0.05070350938
