iter	Passed	Remaining
0	14	3069
1	25	2825
2	41	2977
3	47	2546
4	63	2723
5	79	2843
6	91	2799
7	109	2901
8	113	2672
9	129	2729
10	141	2690
11	160	2778
12	172	2751
13	189	2794
14	200	2733
15	220	2812
16	231	2770
17	246	2763
18	254	2689
19	269	2695
20	283	2690
21	295	2661
22	308	2643
23	320	2615
24	334	2609
25	346	2586
26	362	2587
27	377	2590
28	407	2684
29	422	2674
30	439	2677
31	460	2703
32	470	2666
33	483	2646
34	499	2638
35	514	2629
36	527	2608
37	540	2589
38	559	2597
39	572	2577
40	588	2570
41	602	2554
42	621	2558
43	637	2550
44	650	2528
45	668	2529
46	686	2525
47	696	2496
48	711	2484
49	727	2473
50	740	2455
51	752	2430
52	765	2413
53	779	2395
54	797	2393
55	810	2373
56	822	2350
57	833	2328
58	850	2320
59	865	2308
60	884	2304
61	899	2291
62	915	2281
63	942	2297
64	957	2284
65	973	2271
66	986	2251
67	1001	2238
68	1016	2224
69	1029	2205
70	1044	2191
71	1059	2178
72	1074	2163
73	1095	2161
74	1110	2147
75	1127	2136
76	1139	2115
77	1150	2094
78	1166	2082
79	1179	2064
80	1191	2044
81	1221	2055
82	1236	2041
83	1254	2030
84	1286	2042
85	1299	2024
86	1313	2007
87	1326	1989
88	1338	1969
89	1349	1949
90	1363	1932
91	1372	1909
92	1381	1886
93	1400	1877
94	1405	1849
95	1416	1829
96	1429	1812
97	1439	1792
98	1450	1772
99	1461	1753
100	1473	1736
101	1489	1722
102	1502	1706
103	1529	1706
104	1543	1690
105	1560	1678
106	1574	1662
107	1586	1644
108	1599	1629
109	1613	1613
110	1625	1596
111	1637	1578
112	1647	1560
113	1657	1541
114	1673	1527
115	1682	1508
116	1698	1494
117	1712	1480
118	1730	1468
119	1746	1455
120	1762	1442
121	1775	1426
122	1793	1414
123	1808	1399
124	1824	1386
125	1839	1372
126	1856	1359
127	1872	1346
128	1884	1329
129	1898	1314
130	1909	1297
131	1921	1281
132	1936	1266
133	1947	1249
134	1957	1232
135	1968	1216
136	1984	1201
137	1999	1187
138	2009	1171
139	2022	1155
140	2042	1144
141	2059	1131
142	2074	1117
143	2090	1103
144	2107	1090
145	2121	1075
146	2132	1059
147	2143	1042
148	2154	1026
149	2165	1010
150	2176	994
151	2188	978
152	2201	964
153	2215	949
154	2227	934
155	2241	919
156	2253	904
157	2273	891
158	2290	878
159	2301	863
160	2318	849
161	2338	837
162	2356	823
163	2367	808
164	2381	793
165	2396	779
166	2412	765
167	2427	751
168	2442	736
169	2454	721
170	2484	712
171	2502	698
172	2514	683
173	2526	668
174	2544	654
175	2557	639
176	2570	624
177	2581	609
178	2596	594
179	2614	581
180	2629	566
181	2643	551
182	2657	537
183	2673	523
184	2688	508
185	2702	494
186	2713	478
187	2726	464
188	2739	449
189	2751	434
190	2764	419
191	2776	404
192	2787	390
193	2796	374
194	2808	360
195	2818	345
196	2831	330
197	2847	316
198	2860	301
199	2875	287
200	2894	273
201	2907	259
202	2920	244
203	2933	230
204	2946	215
205	2960	201
206	2972	186
207	2982	172
208	2993	157
209	3010	143
210	3021	128
211	3052	115
212	3061	100
213	3075	86
214	3091	71
215	3105	57
216	3120	43
217	3132	28
218	3145	14
219	3159	0
