age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied
28,0,1,0,2,5,2,0,1,0,86750,1
50,4,1,0,3,3,5,1,2,1,42419,0
43,4,1,1,2,4,1,0,2,0,65715,0
44,3,0,0,0,2,3,1,0,0,29805,1
33,0,0,1,1,2,1,0,5,0,29805,1
40,2,1,1,2,3,3,0,7,1,42419,1
26,2,1,1,2,5,5,0,2,0,86750,0
25,4,0,1,1,1,1,0,4,0,24076,0
35,0,0,0,2,3,4,0,0,0,42419,1
45,4,0,0,2,3,3,0,9,0,42419,0
31,1,0,1,3,4,4,1,6,0,65715,1
43,4,1,0,1,2,1,0,9,1,29805,1
28,4,0,1,0,3,4,1,0,0,42419,0
48,2,1,0,2,3,4,1,8,0,42419,1
52,2,0,0,1,5,1,1,7,0,86750,1
50,2,0,1,3,5,5,1,6,0,86750,1
34,1,0,0,0,1,4,1,9,0,24076,0
24,2,1,1,1,4,4,0,6,0,65715,1
54,0,1,0,0,1,5,0,4,0,24076,1
25,3,0,1,0,5,4,0,4,0,86750,1
25,0,1,1,0,2,4,1,4,0,29805,1
50,0,1,0,2,5,4,0,0,0,86750,1
34,2,0,0,2,4,2,0,7,1,65715,1
37,3,0,1,3,5,5,0,0,1,86750,1
31,3,1,0,3,4,4,0,3,1,65715,0
53,3,1,0,1,4,5,0,8,1,65715,0
45,1,1,1,3,4,3,1,8,0,65715,1
30,2,0,1,0,4,3,0,4,1,65715,0
33,3,0,0,0,4,4,1,3,1,65715,0
38,1,1,1,2,2,5,1,2,0,29805,1
54,4,0,1,0,1,5,1,2,1,24076,0
48,4,0,1,1,3,5,1,4,1,42419,1
49,1,1,0,0,1,2,1,9,0,24076,1
47,1,1,0,0,4,3,0,0,0,65715,1
44,2,0,1,1,2,5,0,4,0,29805,1
26,2,0,0,3,5,5,0,5,1,86750,1
50,4,1,1,3,2,2,1,6,1,29805,0
23,3,0,0,1,4,2,0,8,0,65715,1
46,4,0,1,2,2,5,0,2,0,29805,0
29,3,1,1,0,2,1,1,1,1,29805,1
24,3,1,0,1,4,5,1,2,0,65715,1
46,2,0,1,0,2,5,1,8,1,29805,1
50,0,0,0,2,3,2,1,6,0,42419,0
27,0,0,0,0,3,2,0,8,0,42419,1
29,1,1,1,1,2,5,1,1,1,29805,1
26,2,0,1,0,5,5,1,4,0,86750,1
27,3,0,0,3,4,5,0,3,0,65715,1
46,0,1,1,2,3,2,0,1,0,42419,0
23,3,1,1,2,5,5,1,8,1,86750,1
23,0,0,1,2,2,5,0,8,0,29805,0
37,0,1,1,1,5,4,1,5,0,86750,1
42,0,1,1,2,1,1,1,5,0,24076,0
41,2,0,0,3,3,3,0,7,0,42419,0
51,4,1,0,1,2,1,0,5,0,29805,1
32,3,1,1,3,4,4,1,0,0,65715,1
50,2,0,1,0,2,3,1,3,1,29805,0
40,2,1,1,0,4,5,1,6,1,65715,1
50,2,0,0,0,2,4,0,1,0,29805,1
25,2,0,1,0,5,5,1,8,1,86750,1
33,2,1,0,3,5,2,1,7,1,86750,0
37,1,1,0,1,5,4,1,7,0,86750,1
53,3,1,0,1,1,2,1,6,1,24076,1
49,2,0,1,2,4,4,1,3,1,65715,1
52,3,1,0,3,5,4,0,1,1,86750,0
33,1,0,1,0,1,2,1,2,1,24076,1
39,1,1,0,3,4,3,1,5,1,65715,0
39,3,1,1,2,2,1,1,4,1,29805,1
28,0,1,0,2,1,5,1,7,1,24076,0
54,4,0,1,3,3,4,0,5,1,42419,1
27,0,1,0,3,1,5,0,5,0,24076,1
30,0,1,1,3,1,2,0,0,0,24076,0
24,0,0,1,1,4,5,1,3,1,65715,0
38,2,0,1,0,2,2,1,4,1,29805,0
42,1,1,1,3,3,5,0,2,0,42419,1
46,0,1,0,3,5,1,0,8,1,86750,1
34,1,1,0,3,5,1,0,0,1,86750,1
28,3,0,1,2,1,1,1,5,0,24076,1
23,4,0,0,2,4,1,1,5,0,65715,0
53,3,0,1,1,4,1,0,9,0,65715,1
26,3,0,1,0,5,1,0,4,1,86750,1
39,2,1,0,1,3,2,0,4,1,42419,1
35,4,0,1,0,2,4,1,9,0,29805,1
40,3,0,1,2,3,5,1,4,0,42419,1
27,3,0,0,2,2,1,1,5,1,29805,1
52,4,1,1,2,5,2,0,7,0,86750,1
46,4,1,1,1,2,2,0,1,1,29805,0
46,3,0,1,3,4,2,1,5,1,65715,1
49,4,0,1,3,1,4,0,0,0,24076,1
25,3,1,0,2,1,5,1,3,0,24076,1
33,3,1,0,3,5,4,0,9,1,86750,1
35,2,1,0,3,4,3,0,2,0,65715,0
26,0,1,1,1,3,2,0,8,0,42419,0
48,3,1,1,0,4,3,0,2,0,65715,0
49,1,1,0,2,1,1,1,5,0,24076,0
36,0,1,1,2,1,1,0,0,1,24076,0
44,0,1,1,1,4,4,1,5,1,65715,0
33,0,0,1,1,4,5,1,3,1,65715,1
54,2,0,1,3,1,3,1,7,1,24076,0
49,3,0,0,2,3,5,0,8,0,42419,0
32,2,0,0,0,5,4,1,3,0,86750,1
41,3,0,0,1,5,1,1,9,1,86750,0
40,2,0,1,0,4,5,1,9,1,65715,1
28,2,1,0,0,5,5,0,5,0,86750,1
49,1,1,0,2,1,1,0,0,1,24076,0
51,2,0,1,2,1,3,1,3,1,24076,1
37,4,0,1,1,4,1,0,6,0,65715,0
43,1,1,0,2,4,5,1,0,1,65715,0
52,2,1,0,2,4,3,1,7,0,65715,1
32,0,1,0,2,3,3,0,9,0,42419,1
27,4,0,0,0,5,1,1,5,1,86750,0
48,4,1,1,1,4,5,0,4,0,65715,1
51,4,0,0,3,2,4,0,9,1,29805,1
27,1,0,0,0,2,5,1,8,0,29805,0
32,2,1,1,2,1,2,0,1,1,24076,0
50,2,1,0,0,5,4,0,4,1,86750,1
27,0,0,1,2,4,3,1,5,1,65715,0
25,0,1,1,2,2,4,1,6,0,29805,0
45,4,1,1,0,5,3,0,4,0,86750,0
28,0,0,0,1,1,3,0,8,1,24076,0
26,1,1,0,2,3,4,1,0,0,42419,0
40,2,0,1,1,5,3,0,6,1,86750,0
50,4,0,0,3,5,3,0,9,1,86750,0
31,0,1,0,2,3,2,0,6,0,42419,1
39,1,0,1,1,5,5,0,3,1,86750,0
51,1,0,1,1,1,5,0,8,0,24076,1
35,0,1,0,3,1,2,0,4,1,24076,1
49,2,1,1,1,3,4,0,3,0,42419,1
37,0,1,0,1,4,1,1,6,1,65715,0
52,4,0,0,3,2,1,1,3,1,29805,0
42,0,0,0,2,4,1,1,2,0,65715,1
39,1,1,0,1,5,2,1,8,1,86750,0
35,0,0,1,1,2,2,1,7,1,29805,1
54,2,1,1,1,3,3,0,0,0,42419,0
38,3,1,1,0,3,1,0,6,1,42419,0
44,0,0,1,3,2,4,0,8,0,29805,1
26,2,1,0,0,1,4,0,7,1,24076,1
27,2,0,0,3,2,1,1,7,0,29805,1
27,1,0,1,2,5,1,0,5,1,86750,0
31,2,1,0,2,1,1,0,3,1,24076,1
39,2,0,0,1,3,2,1,7,1,42419,0
35,2,1,0,3,2,2,0,2,0,29805,0
24,2,0,1,2,4,2,0,8,0,65715,0
35,4,0,1,3,4,5,1,1,0,65715,1
