age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,certifications,salary,satisfied,recognition_score,age_group,under_qualified_flag
28,0,1,0,2,5,2,0,1,0,86750,1,1,2,0
50,4,1,0,3,3,5,1,2,1,42419,0,3,1,0
43,4,1,1,2,4,1,0,2,0,65715,0,2,1,0
44,3,0,0,0,2,3,1,0,0,29805,1,0,1,0
33,0,0,1,1,2,1,0,5,0,29805,1,5,0,0
40,2,1,1,2,3,3,0,7,1,42419,1,8,1,0
26,2,1,1,2,5,5,0,2,0,86750,0,2,2,0
25,4,0,1,1,1,1,0,4,0,24076,0,4,2,0
35,0,0,0,2,3,4,0,0,0,42419,1,0,0,0
45,4,0,0,2,3,3,0,9,0,42419,0,9,1,0
31,1,0,1,3,4,4,1,6,0,65715,1,6,0,0
43,4,1,0,1,2,1,0,9,1,29805,1,10,1,0
28,4,0,1,0,3,4,1,0,0,42419,0,0,2,0
48,2,1,0,2,3,4,1,8,0,42419,1,8,1,0
52,2,0,0,1,5,1,1,7,0,86750,1,7,1,0
50,2,0,1,3,5,5,1,6,0,86750,1,6,1,0
34,1,0,0,0,1,4,1,9,0,24076,0,9,0,0
24,2,1,1,1,4,4,0,6,0,65715,1,6,2,0
54,0,1,0,0,1,5,0,4,0,24076,1,4,1,0
25,3,0,1,0,5,4,0,4,0,86750,1,4,2,0
25,0,1,1,0,2,4,1,4,0,29805,1,4,2,0
50,0,1,0,2,5,4,0,0,0,86750,1,0,1,0
34,2,0,0,2,4,2,0,7,1,65715,1,8,0,0
37,3,0,1,3,5,5,0,0,1,86750,1,1,0,0
31,3,1,0,3,4,4,0,3,1,65715,0,4,0,0
53,3,1,0,1,4,5,0,8,1,65715,0,9,1,0
45,1,1,1,3,4,3,1,8,0,65715,1,8,1,0
30,2,0,1,0,4,3,0,4,1,65715,0,5,0,0
33,3,0,0,0,4,4,1,3,1,65715,0,4,0,0
38,1,1,1,2,2,5,1,2,0,29805,1,2,0,0
54,4,0,1,0,1,5,1,2,1,24076,0,3,1,0
48,4,0,1,1,3,5,1,4,1,42419,1,5,1,0
49,1,1,0,0,1,2,1,9,0,24076,1,9,1,0
47,1,1,0,0,4,3,0,0,0,65715,1,0,1,0
44,2,0,1,1,2,5,0,4,0,29805,1,4,1,0
